"","tk","id","cum.emis.perc","app.meth"
"1022","C","10",7.39128939861602,"IN"
"1112","C","2",5.75945787721126,"IN"
"1202","C","3",3.03118606547399,"IN"
"1292","C","4",2.56342221494875,"IN"
"1382","C","5",8.31804277612872,"IN"
"1472","C","6",1.47378493122596,"IN"
"1562","C","8",4.14350102306982,"IN"
"1652","C","1",38.0504207499745,"TH"
"1742","C","3",35.6386126267158,"TH"
"1832","C","4",44.4706466309862,"TH"
"1922","C","5",44.1209367939322,"TH"
"2012","C","6",52.3828738822264,"TH"
"2102","C","8",42.1503992131916,"TH"
