;elapsed.time;NH3_30s.bg;DATE;TIME;FRAC_DAYS_SINCE_JAN1;FRAC_HRS_SINCE_JAN1;JULIAN_DAYS;EPOCH_TIME;ALARM_STATUS;INST_STATUS;CavityPressure;CavityTemp;DasTemp;EtalonTemp;WarmBoxTemp;species;MPVPosition;OutletValve;solenoid_valves;NH3;NH3_30s;NH3_5min;H2O;CO2;NH3_raw;NH3_dry;nh3_base_11;date.time;id;Vid;treat;NH3.corr;date.time.weather;date;time;temp;air.flow;A.frame;air.temp.K;n;flux;flux.tr;flux.time;cum.emis
1;0;17.10255914;11-10-2022;00:18.6;283.5418822;6805.005173;284.5418822;1665493219;0;899;140.0064751;44.99950409;30.75;45.17440033;44.99983978;2;1;45623.97898;1;146.0446425;140.0598114;70.58212385;1.029205965;188.8478019;146.0446425;146.0446425;705.4230061;11-10-2022 13:00;1;V1;WT;122.9572523;11-10-2022 13:00;11-10-2022;13:00:00;12.2;1992;0.197482;285.35;5.25E-09;0.000741919;0;0;0
2;2.4;40.45157763;11-10-2022;24:14.0;283.6418288;6807.40389;284.6418288;1665501854;0;899;139.9830933;45.00069428;29.25;45.17549896;45.00035858;2;1;45509.26563;1;510.6482008;507.7796478;483.4066148;1.080109009;144.814382;510.6482008;510.6482008;707.4755629;11-10-2022 15:24;1;0;WT;467.3280701;11-10-2022 15:00;11-10-2022;15:00:00;10.7;1992;0.197482;283.85;2.01E-08;0.00283474;0.001788329;0.257519428;0.257519428
3;4.8;31.85987888;11-10-2022;48:09.8;283.7417799;6809.802718;284.7417799;1665510490;0;899;139.9990938;44.99927255;29.125;45.1742149;44.99898761;2;1;45541.33131;1;460.4316501;460.4598332;457.4512583;1.015481537;171.2126243;460.4316501;460.4316501;707.3712904;11-10-2022 17:48;1;0;WT;428.5999543;11-10-2022 18:00;11-10-2022;18:00:00;9.7;1992;0.197482;282.85;1.85E-08;0.002609012;0.002721876;0.391950159;0.649469587
4;7.2;26.29258799;11-10-2022;12:04.3;283.8417165;6812.201195;284.8417165;1665519124;0;899;139.9894631;44.99898529;28.2904212;45.17647553;45.00075531;2;1;45514.82547;1;412.1660787;411.4501256;404.8533541;1.06297576;168.3800628;412.1660787;412.1660787;707.0416396;11-10-2022 20:12;1;0;WT;385.1575376;11-10-2022 20:00;11-10-2022;20:00:00;8.6;1992;0.197482;281.75;1.67E-08;0.002353719;0.002481366;0.3573167;1.006786286
5;9.59;47.59656311;11-10-2022;35:59.9;283.9416656;6814.599974;284.9416656;1665527760;0;899;140.0126311;44.9992354;28;45.17556663;44.99946229;2;1;45500.76911;1;378.2352328;377.8252299;369.5842401;1.024889276;172.9059484;378.2352328;378.2352328;706.5872336;11-10-2022 22:35;1;0;WT;330.2286668;11-10-2022 23:00;11-10-2022;23:00:00;8.1;1992;0.197482;281.25;1.43E-08;0.002021634;0.002187677;0.315025424;1.321811711
6;12;43.95542652;12-10-2022;59:56.2;284.041623;6816.998951;285.041623;1665536396;0;899;139.9828796;45.00063324;27.6875;45.17559052;44.99947357;2;1;45488.35156;1;317.7894013;317.4266541;315.1731279;1.007551898;154.4523104;317.7894013;317.7894013;706.2676281;12-10-2022 00:59;1;0;WT;273.4712276;12-10-2022 01:00;12-10-2022;01:00:00;8.2;1992;0.197482;281.35;1.18E-08;0.001673574;0.001847604;0.266054957;1.587866668
7;14.4;48.52318502;12-10-2022;23:51.4;284.141567;6819.397608;285.141567;1665545031;0;899;139.9975798;45.0003891;27.9375;45.17675018;45.00045013;2;1;45481.14946;1;299.4584962;299.1990855;295.9755229;1.046832525;171.9587127;299.4584962;299.4584962;706.3248956;12-10-2022 03:23;1;0;WT;250.6759005;12-10-2022 03:00;12-10-2022;03:00:00;7.9;1992;0.197482;281.05;1.09E-08;0.00153571;0.001604642;0.231068454;1.818935122
8;16.8;46.74020605;12-10-2022;47:47.4;284.241521;6821.796503;285.241521;1665553667;0;899;139.9912587;44.99999237;28;45.17617035;45.00008392;2;1;45472.18088;1;254.7739133;254.4876439;252.3408941;1.011191097;184.7572903;254.7739133;254.7739133;705.9787632;12-10-2022 05:47;1;0;WT;207.7474379;12-10-2022 06:00;12-10-2022;06:00:00;8.4;1992;0.197482;281.55;8.99E-09;0.001270458;0.001403084;0.202044108;2.02097923
9;19.2;35.58776277;12-10-2022;11:42.9;284.3414684;6824.195241;285.3414684;1665562303;0;899;139.9945574;44.99959564;29.31453804;45.17693329;45.00121307;2;1;45512.42306;1;258.0434945;258.5522793;256.2278157;1.092562806;169.1587569;258.0434945;258.0434945;706.1028699;12-10-2022 08:11;1;0;WT;222.9645165;12-10-2022 08:00;12-10-2022;08:00:00;9.1;1992;0.197482;282.25;9.63E-09;0.001360135;0.001315297;0.189402708;2.210381938
10;21.6;27.16129771;12-10-2022;35:39.1;284.441425;6826.5942;285.441425;1665570939;0;899;140.0172935;44.99990082;31;45.17632294;45.00124359;2;1;45609.17833;1;238.1617768;236.5044885;231.1151295;1.166382123;145.9938327;238.1617768;238.1617768;706.0576749;12-10-2022 10:35;1;0;WT;209.3431908;12-10-2022 11:00;12-10-2022;11:00:00;12.3;1992;0.197482;285.45;8.94E-09;0.001262726;0.00131143;0.18884597;2.399227908
11;24;24.53407754;12-10-2022;59:33.6;284.5413614;6828.992674;285.5413614;1665579574;0;899;139.9994267;45.00014496;31.8125;45.17598724;45.00093842;2;1;45631.01047;1;193.7794292;194.4145489;201.3705781;1.157272039;141.4156371;193.7794292;193.7794292;705.7774153;12-10-2022 12:59;1;0;WT;169.8804713;12-10-2022 13:00;12-10-2022;13:00:00;12.3;1992;0.197482;285.45;7.25E-09;0.001024693;0.001143709;0.164694121;2.563922029
12;26.4;20.53040314;12-10-2022;23:28.5;284.6413023;6831.391254;285.6413023;1665588209;0;899;139.9981504;44.99996185;31.625;45.17464447;44.99977875;2;1;45609.84999;1;156.1668901;156.229929;152.5524071;1.224907239;151.6938094;156.1668901;156.1668901;705.5894006;12-10-2022 15:23;1;0;WT;135.6995258;12-10-2022 15:00;12-10-2022;15:00:00;12.3;1992;0.197482;285.45;5.79E-09;0.000818519;0.000921606;0.132711205;2.696633234
13;28.8;17.37092004;12-10-2022;47:24.8;284.7412595;6833.790227;285.7412595;1665596845;0;899;139.9934475;44.99999237;30.5;45.17485809;44.99938202;2;1;45544.59384;1;136.8320369;136.6407815;135.5757671;1.089595711;188.6455505;136.8320369;136.8320369;705.3681639;12-10-2022 17:47;1;0;WT;119.2698614;12-10-2022 18:00;12-10-2022;18:00:00;11.1;1992;0.197482;284.25;5.11E-09;0.000722454;0.000770486;0.110950052;2.807583286
14;31.2;13.28915467;12-10-2022;11:19.9;284.8412025;6836.18886;285.8412025;1665605480;0;899;139.9901652;44.99959133;28.53600544;45.17507172;44.99909907;2;1;45445.72737;1;105.9272078;105.2449021;102.9551928;0.990703045;207.8960757;105.9272078;105.9272078;704.9828584;12-10-2022 20:11;1;0;WT;91.95574745;12-10-2022 20:00;12-10-2022;20:00:00;9.3;1992;0.197482;282.45;3.97E-09;0.000560554;0.000641504;0.092376613;2.899959899
15;33.6;11.80393916;12-10-2022;35:16.9;284.9411682;6838.588036;285.9411682;1665614117;0;899;140.0057773;45.00041962;27.4375;45.17592621;44.99925995;2;1;45356.34651;1;88.52858307;88.00532895;86.46340238;0.937567792;215.281466;88.52858307;88.52858307;704.8835269;12-10-2022 22:35;1;0;WT;76.20138979;12-10-2022 23:00;12-10-2022;23:00:00;7.6;1992;0.197482;280.75;3.31E-09;0.00046733;0.000513942;0.07400763;2.973967529
16;36;11.65567243;13-10-2022;59:12.3;285.0411151;6840.986761;286.0411151;1665622752;0;899;139.9918283;44.99913788;27.5;45.1772995;45.00054169;2;1;45342.95763;1;83.99426406;84.1741677;83.49077538;0.973604745;213.7766698;83.99426406;83.99426406;704.9759793;13-10-2022 00:59;1;0;WT;72.51849527;13-10-2022 01:00;13-10-2022;01:00:00;7.7;1992;0.197482;280.85;3.15E-09;0.000444585;0.000455957;0.065657839;3.039625367
17;38.4;10.93203494;13-10-2022;23:07.7;285.141061;6843.385464;286.141061;1665631388;0;899;140.0139445;45.0003891;27.75;45.17623138;44.99999237;2;1;45314.81082;1;75.71385553;75.9077853;75.80683254;0.990132806;252.3153998;75.71385553;75.71385553;705.0628999;13-10-2022 03:23;1;0;WT;64.97575035;13-10-2022 03:00;13-10-2022;03:00:00;8;1992;0.197482;281.15;2.82E-09;0.000397918;0.000421251;0.060660189;3.100285557
18;40.8;12.57547122;13-10-2022;47:02.7;285.2410035;6845.784084;286.2410035;1665640023;0;899;140.0005702;44.9996872;27.8125;45.17647553;44.99999237;2;1;45290.3018;1;75.38590026;75.37988119;75.13031673;0.983778301;257.9750086;75.38590026;75.38590026;704.9925002;13-10-2022 05:47;1;0;WT;62.80440997;13-10-2022 06:00;13-10-2022;06:00:00;8.2;1992;0.197482;281.35;2.72E-09;0.000384347;0.000391132;0.056323067;3.156608623
19;43.2;15.03002997;13-10-2022;10:57.6;285.3409446;6848.182671;286.3409446;1665648658;0;899;140.0052302;45.00041962;28.6875;45.17845917;45.00206757;2;1;45306.89434;1;90.8566089;90.51936388;91.6283327;1.041276932;223.2899172;90.8566089;90.8566089;705.0671855;13-10-2022 08:10;1;0;WT;75.48933391;13-10-2022 08:00;13-10-2022;08:00:00;8.6;1992;0.197482;281.75;3.27E-09;0.00046132;0.000422833;0.06088799;3.217496614
20;45.6;16.18387835;13-10-2022;34:53.8;285.4409007;6850.581617;286.4409007;1665657294;0;899;140.0025233;45.00011444;31.1875;45.17595673;45.0009079;2;1;45410.16805;1;95.36321851;94.82737643;96.4948645;1.195805556;178.6342142;95.36321851;95.36321851;705.0501103;13-10-2022 10:34;1;0;WT;78.64349808;13-10-2022 11:00;13-10-2022;11:00:00;11.9;1992;0.197482;285.05;3.36E-09;0.000475031;0.000468175;0.067417245;3.284913859
21;48;14.80553287;13-10-2022;58:50.1;285.5408577;6852.980584;286.5408577;1665665930;0;899;140.0006263;45.00041696;32.125;45.17442023;44.99957309;2;1;45443.15302;1;84.77558075;84.41999436;84.47363127;1.167309849;213.30306;84.77558075;84.77558075;705.1199534;13-10-2022 12:58;1;0;WT;69.61446149;13-10-2022 13:00;13-10-2022;13:00:00;12.7;1992;0.197482;285.85;2.97E-09;0.000419316;0.000447174;0.064392992;3.349306851
22;50.4;11.77557211;13-10-2022;22:45.2;285.640801;6855.379223;286.640801;1665674565;0;899;140.0013151;45.00078583;31.75;45.17546845;45.00020599;2;1;45428.08386;1;62.74165419;62.7720999;62.08388154;1.244808562;195.9008632;62.74165419;62.74165419;705.0438332;13-10-2022 15:22;1;0;WT;50.99652779;13-10-2022 15:00;13-10-2022;15:00:00;11.9;1992;0.197482;285.05;2.18E-09;0.000308035;0.000363675;0.052369262;3.401676112
23;52.8;11.18599198;13-10-2022;46:41.1;285.740753;6857.778071;286.740753;1665683201;0;899;139.9982379;44.99961936;30.5625;45.17519196;44.99989717;2;1;45366.45629;1;56.93098033;56.82124339;55.2897241;1.221728319;257.4681733;56.93098033;56.93098033;704.9005845;13-10-2022 17:46;1;0;WT;45.63525141;13-10-2022 18:00;13-10-2022;18:00:00;10.9;1992;0.197482;284.05;1.96E-09;0.000276621;0.000292328;0.042095251;3.443771363
24;55.2;14.44346048;13-10-2022;10:36.1;285.8406958;6860.176699;286.8406958;1665691836;0;899;140.0001469;44.99953461;30.8125;45.17507172;44.99974823;2;1;45371.24193;1;61.1968242;61.25852441;60.35411712;1.231783207;234.7946989;61.1968242;61.1968242;704.9511099;13-10-2022 20:10;1;0;WT;46.81506393;13-10-2022 20:00;13-10-2022;20:00:00;10.9;1992;0.197482;284.05;2.01E-09;0.000283773;0.000280197;0.0403484;3.484119763
25;57.6;12.7584014;13-10-2022;34:31.9;285.9406467;6862.575521;286.9406467;1665700472;0;899;139.9957675;44.99959564;30.82302989;45.17455292;44.9991684;2;1;45363.25941;1;55.40652766;55.31742291;54.66748047;1.165582602;238.5638091;55.40652766;55.40652766;704.8473146;13-10-2022 22:34;1;0;WT;42.55902151;13-10-2022 23:00;13-10-2022;23:00:00;10.1;1992;0.197482;283.25;1.83E-09;0.000258703;0.000271238;0.039058291;3.523178054
26;60;13.01875978;14-10-2022;58:26.4;286.0405832;6864.973998;287.0405832;1665709106;0;899;140.0112152;44.9988327;31.25;45.17464447;44.99944305;2;1;45380.35547;1;55.01477869;54.95947285;54.77362876;1.16210702;239.7246979;55.01477869;55.01477869;704.9708837;14-10-2022 00:58;1;0;WT;41.94071307;14-10-2022 01:00;14-10-2022;01:00:00;9.7;1992;0.197482;282.85;1.81E-09;0.000255305;0.000257004;0.037008618;3.560186673
27;0;15.70318022;11-10-2022;16:18.4;283.5529906;6805.271773;284.5529906;1665494178;0;899;140.0106659;45.00045013;30.5;45.17317963;44.9986496;2;3;45617.21094;3;979.1384158;947.9000321;902.6013681;1.012913339;136.8973228;979.1384158;979.1384158;710.3516135;11-10-2022 13:16;3;V3;DFC;932.1968519;11-10-2022 13:00;11-10-2022;13:00:00;12.2;2940;0.38465;285.35;3.98E-08;0.00426216;0;0;0
28;2.4;18.71838577;11-10-2022;40:13.7;283.6529368;6807.670484;284.6529368;1665502814;0;899;140.0081726;45.00008392;29.4375;45.1762619;45.00115204;2;3;45531.24153;3;806.9473546;805.6664992;803.7694735;1.091372392;106.8025754;806.9473546;806.9473546;709.5654727;11-10-2022 15:40;3;0;DFC;786.9481134;11-10-2022 16:00;11-10-2022;16:00:00;10.2;2940;0.38465;283.35;3.38E-08;0.003623455;0.003942808;0.567764285;0.567764285
29;4.8;17.80148143;11-10-2022;04:09.4;283.7528869;6810.069285;284.7528869;1665511449;0;899;140.0039101;45.00041962;28.875;45.17494965;44.99947357;2;3;45490.08725;3;641.4763014;642.272324;640.2068598;1.038305718;137.6662128;641.4763014;641.4763014;708.5722167;11-10-2022 18:04;3;0;DFC;624.4708425;11-10-2022 18:00;11-10-2022;18:00:00;9.7;2940;0.38465;282.85;2.69E-08;0.002880421;0.003251938;0.46827908;1.036043366
30;7.2;19.34360083;11-10-2022;28:04.8;283.8528334;6812.468002;284.8528334;1665520085;0;899;140.0135498;44.99871063;28.375;45.17580414;45.00014496;2;3;45493.98828;3;543.9544743;542.4599833;543.242849;1.075501461;141.56842;543.9544743;543.9544743;707.6041871;11-10-2022 20:28;3;0;DFC;523.1163824;11-10-2022 20:00;11-10-2022;20:00:00;8.6;2940;0.38465;281.75;2.26E-08;0.002422336;0.002651379;0.381798513;1.417841878
31;9.59;23.2362223;11-10-2022;51:59.0;283.9527658;6814.86638;284.9527658;1665528719;0;899;140.0102017;45.00008392;28.0625;45.17629242;45.00005341;2;3;45479.89508;3;463.2014574;466.084681;461.2827198;1.045227235;145.5785313;463.2014574;463.2014574;707.3859488;11-10-2022 22:51;3;0;DFC;442.8484587;11-10-2022 23:00;11-10-2022;23:00:00;8.1;2940;0.38465;281.25;1.92E-08;0.002054294;0.002238315;0.322317365;1.740159244
32;12;17.19501195;12-10-2022;15:55.2;284.0527219;6817.265326;285.0527219;1665537355;0;899;140.001236;44.999386;27.51596467;45.17531586;44.99907684;2;3;45462.3132;3;385.2312496;384.8191949;384.7338015;1.013931355;157.8392014;385.2312496;385.2312496;706.917739;12-10-2022 01:15;3;0;DFC;367.624183;12-10-2022 01:00;12-10-2022;01:00:00;8.2;2940;0.38465;281.35;1.59E-08;0.001704736;0.001879515;0.270650166;2.01080941
33;14.4;16.81216053;12-10-2022;39:50.6;284.1526692;6819.664061;285.1526692;1665545991;0;899;140.0016785;45.00093842;28.1875;45.17784882;45.00206757;2;3;45478.46484;3;356.5115826;353.8318021;352.4492639;1.059012727;171.755195;356.5115826;356.5115826;706.7428922;12-10-2022 03:39;3;0;DFC;337.0196416;12-10-2022 04:00;12-10-2022;04:00:00;8.6;2940;0.38465;281.75;1.46E-08;0.001560599;0.001632667;0.235104114;2.245913525
34;16.8;15.69404773;12-10-2022;03:46.0;284.2526163;6822.062791;285.2526163;1665554626;0;899;139.9961483;45.00176239;28.125;45.17739105;45.00121307;2;3;45457.16595;3;295.5956225;296.5259179;297.2876151;1.018369039;183.1111291;295.5956225;295.5956225;706.4606842;12-10-2022 06:03;3;0;DFC;280.8318702;12-10-2022 06:00;12-10-2022;06:00:00;8.4;2940;0.38465;281.55;1.22E-08;0.00130134;0.00143097;0.206059614;2.451973139
35;19.2;15.00891672;12-10-2022;27:42.3;284.3525734;6824.461762;285.3525734;1665563262;0;899;139.9969482;45.00020599;29.5625;45.17693329;45.0014267;2;3;45521.77734;3;310.2025706;310.7291996;296.0655425;1.097890339;142.3095841;310.2025706;310.2025706;706.4395809;12-10-2022 08:27;3;0;DFC;295.7202829;12-10-2022 08:00;12-10-2022;08:00:00;9.1;2940;0.38465;282.25;1.28E-08;0.001366933;0.001334137;0.192115657;2.644088796
